transactions_id,sale_date,sale_time,customer_id,gender,age,category,quantity,price_per_unit,cogs,total_sale,payment_method,customer_segment,city
32,2022-07-16,09:11:00,150,Male,30.0,Beauty,3.0,30.0,8.4,90.0,Net Banking,New,Chennai
231,2022-07-09,07:02:00,50,Female,23.0,Clothing,3.0,50.0,26.5,150.0,Credit Card,VIP,Bangalore
683,2022-03-06,10:22:00,82,Male,38.0,Beauty,2.0,500.0,175.0,1000.0,Debit Card,New,Mumbai
1032,2022-04-01,08:15:00,1,Male,30.0,Beauty,3.0,30.0,10.5,90.0,Debit Card,New,Mumbai
1231,2022-01-29,07:05:00,12,Female,23.0,Clothing,3.0,50.0,23.0,150.0,UPI,New,Hyderabad
1683,2022-05-04,07:19:00,98,Male,38.0,Beauty,2.0,500.0,220.0,1000.0,UPI,Regular,Mumbai
367,2022-12-30,07:03:00,123,Female,57.0,Electronics,1.0,50.0,18.0,50.0,Cash,New,Bangalore
391,2022-03-25,07:37:00,68,Male,19.0,Beauty,2.0,25.0,6.25,50.0,Debit Card,VIP,Hyderabad
432,2022-03-10,11:31:00,17,Female,46.0,Electronics,2.0,500.0,190.0,1000.0,Debit Card,New,Mumbai
1367,2022-04-15,11:38:00,16,Female,57.0,Electronics,1.0,50.0,15.5,50.0,Debit Card,VIP,Chennai
1391,2022-03-01,11:29:00,130,Male,64.0,Beauty,2.0,25.0,9.25,50.0,UPI,Regular,Mumbai
1432,2022-12-25,06:24:00,67,Female,42.0,Electronics,2.0,500.0,245.0,1000.0,Net Banking,New,Hyderabad
150,2022-04-13,08:25:00,89,Female,20.0,Electronics,4.0,30.0,16.2,120.0,Credit Card,New,Pune
845,2022-10-27,10:12:00,25,Male,62.0,Clothing,1.0,500.0,145.0,500.0,Cash,Regular,Bangalore
1150,2022-08-22,10:04:00,77,Female,28.0,Electronics,4.0,30.0,10.2,120.0,UPI,New,Delhi
1845,2022-05-24,07:06:00,94,Male,64.0,Clothing,1.0,500.0,185.0,500.0,Debit Card,Regular,Delhi
797,2022-09-16,06:38:00,116,Male,54.0,Clothing,3.0,25.0,10.75,75.0,Net Banking,Regular,Mumbai
921,2022-09-28,09:34:00,101,Male,48.0,Electronics,3.0,25.0,8.0,75.0,Debit Card,VIP,Bangalore
1797,2022-04-16,11:47:00,147,Male,40.0,Clothing,3.0,25.0,12.25,75.0,Credit Card,Regular,Hyderabad
1921,2022-02-08,07:01:00,77,Male,51.0,Electronics,3.0,25.0,7.5,75.0,Debit Card,New,Hyderabad
291,2022-11-22,08:29:00,15,Male,60.0,Clothing,2.0,300.0,126.0,600.0,UPI,Regular,Hyderabad
907,2022-09-02,06:16:00,145,Female,45.0,Electronics,1.0,25.0,8.5,25.0,Net Banking,New,Ahmedabad
1291,2022-04-04,11:19:00,72,Male,60.0,Clothing,2.0,300.0,153.0,600.0,Debit Card,VIP,Hyderabad
1907,2022-11-17,11:21:00,115,Female,45.0,Electronics,1.0,25.0,9.0,25.0,UPI,VIP,Hyderabad
860,2022-04-11,08:58:00,85,Male,63.0,Clothing,4.0,50.0,16.0,200.0,Cash,New,Bangalore
1860,2022-03-12,11:21:00,57,Male,63.0,Clothing,4.0,50.0,18.0,200.0,Debit Card,New,Delhi
184,2022-02-13,06:44:00,128,Male,31.0,Electronics,4.0,50.0,17.0,200.0,Cash,Regular,Chennai
734,2022-03-12,08:54:00,77,Female,27.0,Clothing,1.0,30.0,15.6,30.0,Cash,Regular,Pune
1184,2022-02-12,08:28:00,23,Male,31.0,Electronics,4.0,50.0,27.5,200.0,Net Banking,VIP,Pune
1734,2022-02-28,08:58:00,72,Female,27.0,Clothing,1.0,30.0,14.4,30.0,UPI,VIP,Kolkata
225,2022-03-05,07:37:00,85,Female,57.0,Beauty,4.0,25.0,12.75,100.0,Credit Card,VIP,Kolkata
679,2022-08-26,08:59:00,64,Female,18.0,Beauty,,,,,Net Banking,New,Ahmedabad
746,2022-07-05,11:33:00,42,Female,33.0,Clothing,,,,,Net Banking,VIP,Mumbai
1225,2022-02-02,09:51:00,137,Female,57.0,Beauty,,,,,Cash,Regular,Pune
1679,2022-09-23,08:08:00,71,Female,18.0,Beauty,3.0,30.0,15.3,90.0,Credit Card,Regular,Delhi
1746,2022-06-13,07:59:00,88,Female,33.0,Clothing,3.0,30.0,10.8,90.0,Cash,Regular,Pune
3,2022-06-14,07:08:00,114,Male,50.0,Electronics,1.0,30.0,8.1,30.0,Net Banking,VIP,Bangalore
464,2022-03-06,11:13:00,24,Male,38.0,Electronics,2.0,300.0,75.0,600.0,Net Banking,VIP,Mumbai
484,2022-03-13,07:52:00,135,Female,19.0,Clothing,4.0,300.0,75.0,1200.0,UPI,VIP,Ahmedabad
591,2022-03-21,08:38:00,94,Male,53.0,Electronics,4.0,25.0,6.5,100.0,UPI,VIP,Chennai
1003,2022-01-26,07:59:00,80,Male,50.0,Electronics,1.0,30.0,15.9,30.0,UPI,VIP,Kolkata
1464,2022-11-13,10:06:00,80,Male,38.0,Electronics,2.0,300.0,126.0,600.0,Credit Card,New,Hyderabad
1484,2022-11-23,09:29:00,22,Female,19.0,Clothing,4.0,300.0,147.0,1200.0,Credit Card,Regular,Delhi
1591,2022-09-29,11:00:00,62,Male,53.0,Electronics,4.0,25.0,7.0,100.0,UPI,VIP,Kolkata
21,2022-07-11,07:33:00,59,Female,50.0,Beauty,1.0,500.0,275.0,500.0,Net Banking,VIP,Mumbai
708,2022-04-06,08:38:00,62,Female,43.0,Beauty,3.0,300.0,87.0,900.0,UPI,Regular,Kolkata
713,2022-04-16,11:43:00,39,Male,34.0,Beauty,3.0,25.0,11.25,75.0,Debit Card,VIP,Ahmedabad
768,2022-06-27,06:50:00,58,Female,24.0,Beauty,3.0,25.0,10.5,75.0,UPI,VIP,Mumbai
1021,2022-06-11,10:19:00,44,Female,50.0,Beauty,1.0,500.0,155.0,500.0,Net Banking,VIP,Hyderabad
1708,2022-02-08,07:47:00,41,Female,43.0,Beauty,3.0,300.0,162.0,900.0,Net Banking,New,Chennai
1713,2022-10-03,10:10:00,90,Male,34.0,Beauty,3.0,25.0,10.75,75.0,Net Banking,Regular,Chennai
1768,2022-07-31,09:52:00,85,Female,24.0,Beauty,3.0,25.0,8.75,75.0,Credit Card,VIP,Hyderabad
499,2022-04-03,10:52:00,15,Male,46.0,Beauty,2.0,30.0,16.5,60.0,Net Banking,Regular,Hyderabad
697,2022-12-25,07:52:00,152,Male,53.0,Clothing,1.0,500.0,200.0,500.0,Net Banking,VIP,Bangalore
831,2022-11-30,11:49:00,149,Male,27.0,Electronics,4.0,25.0,13.75,100.0,Net Banking,Regular,Mumbai
1499,2022-09-23,09:46:00,3,Male,46.0,Beauty,2.0,30.0,11.7,60.0,Cash,Regular,Delhi
1697,2022-12-18,08:22:00,54,Male,53.0,Clothing,1.0,500.0,265.0,500.0,Net Banking,Regular,Mumbai
1831,2022-03-26,10:54:00,80,Male,27.0,Electronics,4.0,25.0,6.5,100.0,Credit Card,New,Delhi
15,2022-07-01,11:50:00,75,Female,42.0,Electronics,4.0,500.0,210.0,2000.0,Cash,VIP,Chennai
743,2022-08-07,07:54:00,55,Female,34.0,Beauty,4.0,500.0,260.0,2000.0,Credit Card,New,Chennai
1015,2022-03-09,11:53:00,94,Female,42.0,Electronics,4.0,500.0,200.0,2000.0,Credit Card,New,Bangalore
1743,2022-10-26,09:37:00,47,Female,34.0,Beauty,4.0,500.0,250.0,2000.0,UPI,VIP,Delhi
14,2022-05-18,07:11:00,8,Male,64.0,Clothing,4.0,30.0,13.2,120.0,UPI,New,Bangalore
103,2022-11-12,10:05:00,33,Female,59.0,Clothing,1.0,25.0,10.75,25.0,Credit Card,New,Kolkata
238,2022-05-10,11:52:00,20,Female,39.0,Beauty,1.0,500.0,150.0,500.0,UPI,New,Pune
986,2022-08-01,09:35:00,65,Female,49.0,Clothing,2.0,500.0,200.0,1000.0,Debit Card,VIP,Mumbai
1014,2022-02-04,10:26:00,147,Male,64.0,Clothing,4.0,30.0,11.4,120.0,Credit Card,New,Bangalore
1103,2022-02-14,07:11:00,61,Female,59.0,Clothing,1.0,25.0,6.75,25.0,Net Banking,New,Kolkata
1238,2022-09-17,07:38:00,129,Female,39.0,Beauty,1.0,500.0,165.0,500.0,Debit Card,VIP,Mumbai
1986,2022-09-14,08:28:00,29,Female,49.0,Clothing,2.0,500.0,145.0,1000.0,Cash,VIP,Hyderabad
438,2022-08-31,10:15:00,88,Female,42.0,Clothing,1.0,30.0,15.9,30.0,UPI,VIP,Pune
1438,2022-01-07,10:00:00,72,Female,42.0,Clothing,1.0,30.0,13.8,30.0,Debit Card,VIP,Mumbai
475,2022-08-12,10:39:00,78,Male,26.0,Clothing,3.0,25.0,9.0,75.0,Credit Card,New,Delhi
505,2022-12-17,07:25:00,86,Male,24.0,Beauty,1.0,50.0,19.5,50.0,Debit Card,VIP,Bangalore
1475,2022-10-04,07:03:00,132,Male,26.0,Clothing,3.0,25.0,10.75,75.0,Cash,VIP,Bangalore
1505,2022-10-30,08:00:00,98,Male,24.0,Beauty,1.0,50.0,14.5,50.0,UPI,Regular,Kolkata
344,2022-07-17,09:47:00,69,Female,42.0,Beauty,1.0,30.0,7.5,30.0,Debit Card,Regular,Delhi
448,2022-03-19,09:36:00,86,Female,54.0,Beauty,2.0,30.0,16.2,60.0,UPI,VIP,Delhi
742,2022-03-19,06:08:00,37,Female,38.0,Electronics,4.0,500.0,195.0,2000.0,UPI,Regular,Mumbai
1344,2022-12-18,06:12:00,144,Female,42.0,Beauty,1.0,30.0,11.1,30.0,Debit Card,New,Pune
1448,2022-05-16,06:28:00,51,Female,54.0,Beauty,2.0,30.0,9.3,60.0,Credit Card,New,Bangalore
1742,2022-11-22,08:25:00,18,Female,38.0,Electronics,4.0,500.0,220.0,2000.0,UPI,VIP,Ahmedabad
445,2022-04-14,10:48:00,132,Female,53.0,Electronics,1.0,300.0,138.0,300.0,Cash,VIP,Ahmedabad
787,2022-06-10,10:42:00,25,Male,41.0,Electronics,1.0,25.0,13.75,25.0,UPI,Regular,Chennai
1445,2022-04-19,06:16:00,31,Female,53.0,Electronics,1.0,300.0,129.0,300.0,Credit Card,New,Ahmedabad
1787,2022-05-30,07:42:00,104,Male,41.0,Electronics,1.0,25.0,10.0,25.0,Net Banking,VIP,Kolkata
49,2022-09-17,10:33:00,37,Female,54.0,Electronics,2.0,500.0,255.0,1000.0,Debit Card,Regular,Chennai
420,2022-01-02,10:53:00,28,Female,22.0,Clothing,4.0,500.0,200.0,2000.0,UPI,VIP,Pune
519,2022-04-08,10:17:00,52,Female,36.0,Electronics,4.0,30.0,16.5,120.0,UPI,VIP,Mumbai
1049,2022-05-16,06:36:00,143,Female,54.0,Electronics,2.0,500.0,125.0,1000.0,Cash,New,Hyderabad
1420,2022-04-15,07:01:00,138,Female,22.0,Clothing,4.0,500.0,205.0,2000.0,Net Banking,New,Mumbai
1519,2022-01-08,07:35:00,139,Female,36.0,Electronics,4.0,30.0,9.3,120.0,Debit Card,Regular,Pune
64,2022-11-15,06:34:00,7,Male,49.0,Clothing,4.0,25.0,8.5,100.0,Net Banking,New,Pune
592,2022-12-26,09:15:00,77,Female,46.0,Beauty,4.0,500.0,275.0,2000.0,Net Banking,VIP,Ahmedabad
912,2022-10-31,06:18:00,122,Male,51.0,Beauty,3.0,50.0,20.5,150.0,Cash,Regular,Kolkata
1064,2022-04-14,10:38:00,49,Male,49.0,Clothing,4.0,25.0,13.75,100.0,Net Banking,New,Hyderabad
1592,2022-03-16,09:08:00,81,Female,46.0,Beauty,4.0,500.0,155.0,2000.0,Debit Card,VIP,Mumbai
1912,2022-05-27,07:40:00,146,Male,51.0,Beauty,3.0,50.0,22.0,150.0,Debit Card,VIP,Kolkata
134,2022-08-25,09:03:00,132,Male,49.0,Electronics,1.0,50.0,16.0,50.0,Net Banking,Regular,Mumbai
1134,2022-08-05,09:04:00,106,Male,49.0,Electronics,1.0,50.0,24.0,50.0,Cash,VIP,Ahmedabad
288,2022-05-02,09:59:00,27,Male,28.0,Clothing,4.0,30.0,12.0,120.0,Net Banking,Regular,Pune
323,2022-01-21,08:22:00,97,Female,29.0,Beauty,3.0,300.0,150.0,900.0,Debit Card,Regular,Delhi
618,2022-10-13,10:22:00,5,Female,27.0,Beauty,1.0,50.0,26.0,50.0,Debit Card,Regular,Chennai
720,2022-04-08,08:50:00,116,Female,56.0,Beauty,3.0,500.0,235.0,1500.0,Debit Card,VIP,Bangalore
1288,2022-04-05,11:56:00,26,Male,28.0,Clothing,4.0,30.0,9.0,120.0,Debit Card,VIP,Ahmedabad
1323,2022-08-15,10:49:00,136,Female,29.0,Beauty,3.0,300.0,114.0,900.0,Credit Card,New,Hyderabad
1618,2022-09-15,06:27:00,118,Female,27.0,Beauty,1.0,50.0,13.5,50.0,Credit Card,VIP,Kolkata
1720,2022-10-10,08:51:00,28,Female,56.0,Beauty,3.0,500.0,190.0,1500.0,Cash,VIP,Mumbai
415,2022-01-05,09:59:00,85,Male,53.0,Clothing,2.0,30.0,8.1,60.0,Net Banking,New,Kolkata
736,2022-12-18,08:30:00,97,Male,29.0,Clothing,4.0,25.0,9.75,100.0,Net Banking,New,Bangalore
929,2022-03-11,10:18:00,40,Female,23.0,Beauty,3.0,25.0,10.5,75.0,Debit Card,VIP,Delhi
1415,2022-03-06,07:11:00,146,Male,53.0,Clothing,2.0,30.0,15.3,60.0,UPI,VIP,Delhi
1736,2022-08-28,08:57:00,87,Male,29.0,Clothing,4.0,25.0,10.25,100.0,Debit Card,New,Chennai
1929,2022-09-15,06:50:00,62,Female,23.0,Beauty,3.0,25.0,12.75,75.0,Net Banking,New,Kolkata
264,2022-12-26,11:03:00,111,Male,47.0,Clothing,3.0,300.0,150.0,900.0,Cash,New,Kolkata
913,2022-10-12,10:52:00,78,Male,29.0,Electronics,3.0,30.0,16.5,90.0,UPI,New,Hyderabad
940,2022-01-05,08:11:00,46,Female,20.0,Electronics,1.0,30.0,9.6,30.0,Debit Card,New,Delhi
1264,2022-05-27,09:23:00,82,Male,47.0,Clothing,3.0,300.0,123.0,900.0,Cash,New,Kolkata
1913,2022-06-23,07:10:00,101,Male,29.0,Electronics,3.0,30.0,14.1,90.0,Debit Card,New,Mumbai
1940,2022-06-15,09:47:00,56,Female,20.0,Electronics,1.0,30.0,11.1,30.0,Net Banking,VIP,Delhi
101,2022-01-08,08:46:00,24,Male,32.0,Clothing,2.0,300.0,135.0,600.0,UPI,Regular,Kolkata
1101,2022-05-17,07:47:00,15,Male,32.0,Clothing,2.0,300.0,132.0,600.0,Net Banking,Regular,Mumbai
189,2022-01-02,09:44:00,143,Male,63.0,Beauty,1.0,50.0,14.5,50.0,Credit Card,Regular,Bangalore
317,2022-05-04,07:54:00,117,Male,22.0,Electronics,3.0,30.0,12.0,90.0,Debit Card,VIP,Pune
322,2022-10-19,06:11:00,13,Male,51.0,Electronics,1.0,500.0,125.0,500.0,Net Banking,Regular,Delhi
329,2022-10-27,07:42:00,52,Female,46.0,Electronics,4.0,25.0,8.0,100.0,Debit Card,Regular,Delhi
1189,2022-12-07,06:08:00,104,Male,63.0,Beauty,1.0,50.0,20.5,50.0,Credit Card,VIP,Mumbai
1317,2022-08-25,08:02:00,144,Male,22.0,Electronics,3.0,30.0,12.0,90.0,Debit Card,New,Delhi
1322,2022-11-14,09:56:00,10,Male,51.0,Electronics,1.0,500.0,250.0,500.0,Debit Card,VIP,Delhi
1329,2022-01-27,10:39:00,119,Female,46.0,Electronics,4.0,25.0,9.25,100.0,Credit Card,Regular,Mumbai
235,2022-03-10,10:13:00,132,Female,23.0,Electronics,2.0,500.0,275.0,1000.0,Credit Card,Regular,Mumbai
300,2022-01-08,09:41:00,138,Female,19.0,Electronics,4.0,50.0,26.5,200.0,Cash,New,Kolkata
964,2022-08-26,08:18:00,15,Male,24.0,Clothing,3.0,300.0,156.0,900.0,Net Banking,VIP,Hyderabad
1235,2022-04-04,06:44:00,87,Female,23.0,Electronics,2.0,500.0,220.0,1000.0,Cash,Regular,Ahmedabad
1300,2022-08-08,08:57:00,7,Female,19.0,Electronics,4.0,50.0,24.0,200.0,Net Banking,Regular,Bangalore
1964,2022-08-02,08:27:00,115,Male,24.0,Clothing,3.0,300.0,111.0,900.0,Debit Card,VIP,Delhi
269,2022-09-19,11:31:00,87,Male,25.0,Clothing,4.0,500.0,250.0,2000.0,Credit Card,New,Bangalore
320,2022-04-20,08:35:00,57,Female,28.0,Electronics,4.0,300.0,159.0,1200.0,UPI,Regular,Kolkata
673,2022-07-04,10:14:00,18,Female,43.0,Clothing,3.0,500.0,270.0,1500.0,Net Banking,Regular,Mumbai
1269,2022-01-01,08:09:00,71,Male,25.0,Clothing,4.0,500.0,145.0,2000.0,Net Banking,Regular,Delhi
1320,2022-11-02,11:55:00,102,Female,28.0,Electronics,4.0,300.0,84.0,1200.0,Cash,New,Pune
1673,2022-06-14,07:36:00,42,Female,43.0,Clothing,3.0,500.0,185.0,1500.0,Cash,VIP,Chennai
142,2022-04-08,10:05:00,61,Male,35.0,Electronics,4.0,300.0,138.0,1200.0,Debit Card,New,Pune
223,2022-01-15,11:18:00,61,Female,64.0,Clothing,1.0,25.0,12.0,25.0,Credit Card,VIP,Kolkata
666,2022-03-03,10:59:00,49,Male,51.0,Electronics,3.0,50.0,16.0,150.0,Net Banking,New,Chennai
1142,2022-11-09,09:49:00,2,Male,35.0,Electronics,4.0,300.0,114.0,1200.0,UPI,New,Kolkata
1223,2022-02-20,07:40:00,106,Female,64.0,Clothing,1.0,25.0,9.75,25.0,Net Banking,New,Ahmedabad
1666,2022-12-08,10:10:00,125,Male,51.0,Electronics,3.0,50.0,21.0,150.0,Debit Card,New,Hyderabad
107,2022-10-06,09:18:00,75,Female,21.0,Clothing,4.0,300.0,78.0,1200.0,Cash,VIP,Delhi
933,2022-09-19,07:53:00,81,Male,22.0,Beauty,1.0,30.0,12.9,30.0,UPI,New,Pune
1107,2022-12-31,11:14:00,62,Female,21.0,Clothing,4.0,300.0,102.0,1200.0,Net Banking,New,Kolkata
1933,2022-01-12,11:04:00,121,Male,22.0,Beauty,1.0,30.0,14.4,30.0,Cash,VIP,Mumbai
237,2022-04-11,08:54:00,105,Female,50.0,Beauty,2.0,500.0,165.0,1000.0,Credit Card,New,Chennai
335,2022-02-02,09:23:00,2,Female,47.0,Beauty,4.0,30.0,10.8,120.0,Debit Card,Regular,Delhi
1237,2022-02-23,09:20:00,48,Female,50.0,Beauty,2.0,500.0,215.0,1000.0,UPI,New,Chennai
1335,2022-05-27,08:45:00,117,Female,47.0,Beauty,4.0,30.0,8.7,120.0,Cash,New,Bangalore
63,2022-02-03,11:49:00,127,Male,57.0,Electronics,2.0,25.0,6.25,50.0,Cash,VIP,Bangalore
195,2022-08-14,11:51:00,10,Male,52.0,Clothing,1.0,30.0,9.3,30.0,Credit Card,New,Chennai
333,2022-10-06,08:15:00,21,Female,54.0,Electronics,4.0,300.0,99.0,1200.0,Cash,VIP,Ahmedabad
379,2022-06-01,07:28:00,76,Female,47.0,Clothing,1.0,25.0,8.5,25.0,Debit Card,Regular,Chennai
490,2022-01-27,06:07:00,43,Male,34.0,Clothing,3.0,50.0,18.5,150.0,UPI,VIP,Mumbai
530,2022-05-01,07:52:00,8,Female,18.0,Electronics,4.0,30.0,9.0,120.0,Cash,New,Delhi
740,2022-12-01,06:58:00,33,Female,25.0,Beauty,4.0,50.0,13.0,200.0,Credit Card,Regular,Chennai
793,2022-05-27,10:53:00,1,Male,54.0,Beauty,1.0,30.0,14.7,30.0,Net Banking,Regular,Chennai
1063,2022-08-04,10:26:00,56,Male,57.0,Electronics,2.0,25.0,11.0,50.0,Debit Card,Regular,Ahmedabad
1195,2022-09-21,07:07:00,55,Male,52.0,Clothing,1.0,30.0,12.0,30.0,UPI,Regular,Chennai
1333,2022-11-01,11:38:00,151,Female,54.0,Electronics,4.0,300.0,165.0,1200.0,Credit Card,New,Delhi
1379,2022-01-02,06:23:00,69,Female,47.0,Clothing,1.0,25.0,7.25,25.0,Credit Card,New,Mumbai
1490,2022-10-26,07:15:00,155,Male,34.0,Clothing,3.0,50.0,17.0,150.0,UPI,VIP,Delhi
1530,2022-12-10,08:17:00,93,Female,18.0,Electronics,4.0,30.0,12.3,120.0,UPI,VIP,Delhi
1740,2022-07-16,06:01:00,66,Female,25.0,Beauty,4.0,50.0,27.0,200.0,Net Banking,VIP,Ahmedabad
1793,2022-12-11,06:05:00,88,Male,54.0,Beauty,1.0,30.0,10.8,30.0,Credit Card,VIP,Mumbai
85,2022-09-03,08:05:00,68,Male,31.0,Clothing,3.0,50.0,19.0,150.0,Debit Card,VIP,Delhi
232,2022-08-12,07:14:00,150,Female,43.0,Beauty,1.0,25.0,12.75,25.0,UPI,VIP,Delhi
240,2022-11-05,11:49:00,95,Female,23.0,Beauty,1.0,300.0,123.0,300.0,Credit Card,Regular,Hyderabad
993,2022-09-07,09:21:00,134,Female,48.0,Electronics,3.0,50.0,17.0,150.0,Credit Card,VIP,Delhi
1085,2022-08-12,09:29:00,76,Male,31.0,Clothing,3.0,50.0,17.0,150.0,Debit Card,New,Hyderabad
1232,2022-05-23,08:05:00,146,Female,43.0,Beauty,1.0,25.0,6.25,25.0,Credit Card,Regular,Delhi
1240,2022-08-07,07:42:00,144,Female,23.0,Beauty,1.0,300.0,90.0,300.0,Net Banking,Regular,Hyderabad
1993,2022-12-29,11:53:00,123,Female,48.0,Electronics,3.0,50.0,26.5,150.0,Debit Card,VIP,Hyderabad
366,2022-10-29,09:32:00,116,Male,57.0,Clothing,2.0,50.0,17.5,100.0,Debit Card,New,Kolkata
372,2022-06-19,11:45:00,27,Female,24.0,Beauty,3.0,500.0,140.0,1500.0,Net Banking,New,Hyderabad
596,2022-02-12,08:44:00,87,Female,64.0,Electronics,1.0,300.0,93.0,300.0,Net Banking,New,Ahmedabad
936,2022-01-05,10:51:00,143,Male,57.0,Beauty,4.0,50.0,19.5,200.0,Credit Card,Regular,Kolkata
1366,2022-01-01,11:34:00,25,Male,57.0,Clothing,2.0,50.0,23.5,100.0,Credit Card,VIP,Hyderabad
1372,2022-03-18,10:53:00,60,Female,24.0,Beauty,3.0,500.0,145.0,1500.0,Credit Card,New,Hyderabad
1596,2022-03-28,06:22:00,7,Female,64.0,Electronics,1.0,300.0,141.0,300.0,Net Banking,VIP,Pune
1936,2022-06-19,11:32:00,60,Male,57.0,Beauty,4.0,50.0,12.5,200.0,Cash,VIP,Pune
284,2022-11-12,09:17:00,129,Male,43.0,Clothing,4.0,50.0,20.5,200.0,Credit Card,Regular,Kolkata
434,2022-10-26,06:09:00,50,Female,43.0,Electronics,2.0,25.0,8.25,50.0,Debit Card,New,Bangalore
775,2022-05-06,11:07:00,98,Female,46.0,Electronics,4.0,25.0,9.5,100.0,UPI,Regular,Hyderabad
977,2022-07-26,08:35:00,46,Female,35.0,Electronics,3.0,25.0,13.75,75.0,Debit Card,VIP,Hyderabad
1284,2022-12-16,11:43:00,145,Male,43.0,Clothing,4.0,50.0,18.0,200.0,Credit Card,Regular,Delhi
1434,2022-02-04,10:02:00,147,Female,43.0,Electronics,2.0,25.0,7.0,50.0,Credit Card,New,Chennai
1775,2022-12-18,08:04:00,78,Female,46.0,Electronics,4.0,25.0,13.75,100.0,UPI,VIP,Chennai
1977,2022-08-05,10:46:00,63,Female,35.0,Electronics,3.0,25.0,12.0,75.0,Credit Card,VIP,Pune
649,2022-06-21,08:17:00,44,Female,58.0,Clothing,2.0,300.0,135.0,600.0,Net Banking,New,Mumbai
1649,2022-10-21,07:44:00,72,Female,58.0,Clothing,2.0,300.0,75.0,600.0,Cash,VIP,Pune
54,2022-10-20,10:17:00,142,Female,38.0,Electronics,3.0,500.0,200.0,1500.0,Credit Card,VIP,Ahmedabad
68,2022-12-15,09:06:00,146,Male,25.0,Electronics,1.0,300.0,84.0,300.0,Credit Card,New,Pune
192,2022-11-08,08:05:00,134,Male,62.0,Beauty,2.0,50.0,13.0,100.0,Credit Card,Regular,Pune
1054,2022-01-10,09:24:00,49,Female,38.0,Electronics,3.0,500.0,140.0,1500.0,Net Banking,VIP,Bangalore
1068,2022-09-14,10:11:00,136,Male,25.0,Electronics,1.0,300.0,111.0,300.0,Cash,Regular,Chennai
1192,2022-03-29,08:41:00,37,Male,62.0,Beauty,2.0,50.0,20.5,100.0,Credit Card,VIP,Hyderabad
331,2022-08-16,08:33:00,28,Male,28.0,Electronics,3.0,30.0,10.2,90.0,UPI,Regular,Delhi
346,2022-09-05,06:54:00,38,Male,59.0,Clothing,2.0,500.0,215.0,1000.0,Credit Card,New,Kolkata
657,2022-01-29,08:53:00,46,Male,40.0,Clothing,1.0,25.0,8.0,25.0,Debit Card,Regular,Delhi
732,2022-10-13,08:45:00,136,Male,61.0,Electronics,2.0,500.0,250.0,1000.0,Credit Card,Regular,Chennai
972,2022-08-16,11:42:00,139,Male,49.0,Beauty,4.0,25.0,6.75,100.0,Debit Card,New,Chennai
1331,2022-05-15,09:29:00,36,Male,28.0,Electronics,3.0,30.0,13.8,90.0,Debit Card,New,Hyderabad
1346,2022-04-10,10:01:00,112,Male,59.0,Clothing,2.0,500.0,130.0,1000.0,Net Banking,Regular,Chennai
1657,2022-08-09,10:05:00,61,Male,40.0,Clothing,1.0,25.0,8.0,25.0,UPI,VIP,Chennai
1732,2022-02-25,07:05:00,55,Male,61.0,Electronics,2.0,500.0,215.0,1000.0,Credit Card,Regular,Pune
1972,2022-12-21,06:39:00,5,Male,49.0,Beauty,4.0,25.0,9.25,100.0,Credit Card,Regular,Delhi
714,2022-10-29,08:50:00,20,Female,18.0,Clothing,1.0,500.0,190.0,500.0,UPI,Regular,Ahmedabad
